Designator,Footprint,Quantity,Value,LCSC Part #
"AM0,AM1,AM2,AM3,AM4,AM5",SSOP-24_5.3x8.2mm_P0.65mm,6,CD74HC4067SM,
BOOT1,SW_SPST_TL3342,1,SW_Push,
"C4,C8,C5,C2,C3,C9,C6",C_0402_1005Metric,7,1 μF,C14445,
C7,C_0402_1005Metric,1,10 μF,C315248,
D1,LED_0402_1005Metric,1,LED,C72038,
F1,Fuse_1206_3216Metric,1,500mA,C151133,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C,C165948,
"R1,R2",R_0402_1005Metric,2,5.1kΩ,C25905,
R3,R_0402_1005Metric,1,10kΩ,C60490,
R4,R_0402_1005Metric,1,220,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
"U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U40,U41,U42,U43,U44,U45,U46,U47,U48,U49,U50,U51,U52,U53,U54,U55,U56,U57,U58,U59,U60,U61,U62,U63,U64,U65,U66,U67,U68,U69,U70,U71,U72,U73,U74,U75,U76,U77,U78,U79,U80,U81,U82,U83,U84,U85,U86,U87,U88,U89,U90,U91,U92",SOT-23,87,Hall_Sensor,C266230
U16,SOT-23-6,1,USBLC6-2SC6,C2827654,
U17,SOT-23-3,1,XC6206P,XC6206P332MR,
